productName,productDescription,productPartNumber,productManufacturer,productNormalPrice,productSellingPrice
"APC Smart-UPS SRT 5000VA RM 230V Marine","Presentation: High availability, ruggedized power protection for shipboard and other transportation applications | Lead time: Usually in Stock | Main Run Time for Load: 4500 W (Min-max: 450-4500 W, 3min 59s) | Max. Capacity Used: 100% | Main Input Voltage: 230 V | Product Type: Uninterruptible power supply (UPS) | Other Input Voltage: 220 V, 240 V | Main Output Voltage: 230 V | Other Output Voltage: 220 V, 240 V | Rated Power: 4500 W, 5000 VA | Output Connection Type: 6 IEC 60320 C13, 2 IEC Jumpers, 4 IEC 60320 C19 | Provided Equipment: Documentation CD, Installation guide, Rack mounting hardware, Rack mounting brackets, Rack mounting support rails, Temperature probe, Warranty card | Batteries & Runtime: Battery Type: Lead-acid battery; Battery Voltage: 192 V; Extended Runtime: 1; Number of Battery Filled Slots: 0; Battery Recharge Time: 1 h; Battery Replacement Quantity: 1; Battery Life: 3–5 years; Replacement Battery: APCRBC140; Battery Charger Power: 837 W rated | General: Number of Power Module Filled Slots: 0, Free Slots: 0 | Redundant: No | UPS Type: Double conversion online | Physical: Colour: Black; Height: 13 cm; Width: 43.2 cm; Depth: 71.94 cm; Product Weight: 54.43 kg; Mounting Location: Front; Mounting Preference: No preference; Mounting Mode: Rack-mounted, Two post mountable: 0; USB Compatible: Yes | Input: 1 hard wire 3-wire (1P + N + E) connector; Network Frequency: 45–65 Hz auto-sensing | Output: Bypass Type: Internal bypass (automatic and manual); Crest Factor: 3:1; Harmonic Distortion: <3%; Maximum Configurable Power: 5000 VA, 4500 W; Wave Type: Sine wave; Output Frequency: 50/60 Hz ±3 Hz sync to mains | Conformance: Certifications: CE, DNV, EAC, RCM, VDE; Marking: CE Mark; Standards: EN/IEC 62040-1:2019/A11:2021, EN/IEC 62040-2:2006/AC:2006, EN/IEC 62040-2:2018 | Environmental: Acoustic Level: 55 dBA; Heat Dissipation: 931 Btu/h; Operating Altitude: 0–10000 ft; Ambient Temperature for Operation: 0–40 °C, for Storage: -15–45 °C; Storage Altitude: 0–15240 m; IP Protection: IP20; Relative Humidity: 0–95% non-condensing | Communications & Management: Emergency Power Off: Yes; Free Slots: 0; Preinstalled Device: Dry contact I/O smartslot card; Alarm: Audible and visible alarms (prioritized by severity) | Surge Protection and Filtering: Surge Energy Rate: 480 J | Packing Units: Unit Type: PCE; Number of Units: 1; Package Dimensions: 33 cm (H) x 96 cm (W) x 61 cm (L); Package Weight: 66.86 kg | Contractual Warranty: 3 years repair/replace (excluding battery) and 2 years for battery","SRT5KRMXLIM","Schneider","1.00","6200.00"
"Lenovo ThinkVision T32p-30 (A22315UT0)","Brand: Lenovo | Model Number: ThinkVision T32p-30 | Model Name: ThinkVision T32p-30 | Series Number: 32 | UPC: 196801203136 | Manufacturer: Lenovo | Best Sellers Rank: #675,492 in Electronics; #12,938 in Computer Monitors | ASIN: B0CN34NMJB | Display Resolution: 4K UHD 2160p (Max: 3840 x 2160, Native: 3840x2160) | Performance: Response Time 6 Milliseconds | Ports: 1 HDMI, 1 USB | Screen Size: 31.5"" | Item Dimensions: 28.12""D x 23.6""W x 9.25""H | Item Weight: 20.9 Pounds | Display: Aspect Ratio 16:9, Glossy Finish, Contrast Ratio 1000:1, Refresh Rate 60Hz, LCD, Viewing Angle 178°, Brightness 350 nits, Pixel Pitch 0.082, Color Screen, IPS | Connectivity: USB | Additional Details: Anti Glare Screen, Desktop Use, Black, Wall Mount, Compatible with Laptop & Desktop, Limited Warranty, Flat, Widescreen (16:9)","63D2GAT1","Lenovo","31.00","950.00"
"Lenovo ThinkStation P5","CPU: Xeon | GPU: NVIDIA RTX A4000 16GB | Memory: 128GB | Storage: 1TB SSD, 2TB HDD |RAID: M.2 = 0 / 1 / 10 / 5*; SATA = 0 / 1 / 5* | Audio: Realtek® | Connectivity – Ports/Slots: Front: Headphone/mic combo; Optional: 2 x USB-A (USB 10Gbps, 1 always-on), 2 x USB-C® (USB 10Gbps) | Rear: 2 x USB-A (Hi-Speed USB), 3 x USB-A (USB 10Gbps), USB-C® (USB 20Gbps)*, Line in, Line out, Ethernet (RJ45), Optional: Serial (USB port transfer speeds are approximate and depend on various factors) | Wireless: Onboard Ethernet: Intel® Ethernet I219-LM; Internal WiFi Antenna; Optional Ethernet: Bitland RTL8168H 1000M PCIE, Intel® I210-T1, I350-T2, I350-T4, I550-T2, Intel® X710-DA2; Optional WLAN: Intel® WiFi 6E AX211 (2x2ax) with vPro + Bluetooth® 5.2 (*6GHz WiFi 6E operation depends on OS, routers/APs/gateways, and regional regulatory certifications) | Design: Dimensions (H x W x D): : 440mm x 165mm x 460mm (17.3″ x 6.5″ x 17.8″); Weight: Up to 19kg","30G9S6Y100","Lenovo","9.00","6865.00"
"network card PCIE (300MBPS)","Brand: TP-Link | Hardware Interface: PCI | Color: Black | Compatible Devices: Desktop | Product Dimensions: 3.09""L x 4.74""W x 0.85""H | Data Link Protocol: IEEE 802.11b, IEEE 802.11n | Data Transfer Rate: 300 Megabits Per Second | Item Weight: 0.17 Kilograms | UPC: 012304979722 745449835683 080850499360 803983008458 666674962534 350112759830 731215277047 807030505907 565564869055 758399150058 112840006255 809186281605 809185824988 845973050573 723856183641 842674790227 809385676455 634392761067... | Global Trade Identification Number: 00845973050573, 00080850499360 | About this item: Fast Speed: Wireless N speed up to 300Mbps; MIMO Technology: 2T2R MIMO delivers greater throughput at range versus conventional 1T1R; Industry Leading Support: 2-year warranty and free 24/7 technical support; Easy setup: Setup a highly secured wireless link with WPS, bundled utility provides quick & hassle-free installation; Compatibility: 802.11n/b/g products; Supports Windows 7/8/8.1/10/11 and Linux 2.6.24 ~ 4.1","TL-WN881ND","TP-LINK USA","7.00","35.00"
"HP Color LaserJet Enterprise Multifunction M776dn","Brand: HP | Model Name: LaserJet Enterprise MFP M776dn | Built-In Media: HP Black Original LaserJet Toner Cartridge (~16,000 pages), Getting Started Guide; One Power Cord; HP Color LaserJet Toner Cartridges (Cyan, Magenta, Yellow, ~13,000 pages each); 4 HP Original LaserJet Imaging Drums (~65,000 pages each) | Series Number: 776 | Model Series: M776 | UPC: 193015437999 | Best Sellers Rank: #278,191 in Office Products; #477 in Laser Computer Printers | ASIN: B07ZZP36PW | Color: White | Paper Handling: Max Media Size 12 x 18 in, Max Sheet Capacity 550, Supported Paper Sizes: 2.5 x 5, 3 x 5, 4 x 6, 5 x 7, 5 x 8, 8.5 x 11.5, 5.8 x 5.8, 8.5 x 13, 12 x 18, 11 x 17 | Print Resolution: 1200 dpi (B&W) | Copy Resolution: 1200x1200 dpi (Color) | Connectivity: Wi-Fi, USB, Ethernet | Hardware Connectivity: Ethernet, USB 2.0; Total USB Ports: 1 | Print Speed: 46 ppm (Color), 45 ppm (B&W) | Power: Electric | Duplex Printing: Yes, Automatic | Printer Type: Laser; Additional Features: Auto-Duplex | Output Type: Color | Item Weight: 5 kg | Item Dimensions: 26.2""D x 23""W x 28""H | Print Media: Paper (plain) | Scanner Type: Sheetfed | Max Copy Speed (B&W): 45 ppm | Display Type: OLED | Compatible Devices: PC | Max Copies Per Run: 200 | Ink Color: Black | Additional Functions: Copy, Scan, Fax | Control Method: App | Compatible Cartridge: HP Original LaserJet Toner Cartridges | Processor Count: 1","T3U55A#BGJ","HP","3.00","5700.00"
"Lenovo Mouse Essentials (USB)","Color: Black | Cable Length/Type: 1.8 m | Weight: 70 g (0.15 lbs) | Special Design Features: Ambidextrous design | Mice Button: 3 (Left click, Right click, Scroll click) | Button Life: Left/Right click - Up to 8M clicks, Scroll wheel click - Up to 100,000 clicks | Mouse Sensor: Optical sensor | Hardware Requirements: Supported PC with USB port | Warranty Type: CRU | Scrolling: Scroll Wheel (Up/Down) | Brand: Lenovo | OS Requirements: Windows 7, Windows 8, Windows 8.1, Windows 10, Windows 11 | Agency Approvals: BSMI, CB, CE, EAC, FCC, ICES, KCC, RCM, Serbia, TUV-GS, UL, VCCI | Package Type: Brown box | Height: 34 mm (1.34 in) | Length: 62 mm (2.45 in) | Depth: 111 mm (4.38 in) | Warranty Period: 1 Year | Maximum Operating Temperature: 50°C (122°F) | Minimum Operating Temperature: 0°C (32°F) | Maximum Relative Humidity: 90% | Minimum Relative Humidity: 10% | Connection Type: Wired via USB | DPI: 1600 DPI","4Y50R20863","Lenovo","45.00","40.00"
"APC Smart-UPS RT Battery Pack 192V rackmount 3U wo rail kit","Lead time: Usually in Stock | Main: Product or component type: Battery; Number of rack unit: 3U; Battery type: Lead-acid battery; Provided equipment: Installation guide, Warranty card; Range of product: Smart-UPS Battery Systems | Batteries & Runtime: Device mounting: Stand alone battery stack, Rack mount; Number of battery filled slots: 4; Number of battery free slots: 0; Number of battery replacement quantity: 2; Battery voltage: 192 V; Replacement battery: APCRBC174 action_new_window | Physical: Colour: Black; Height: 13 cm; Width: 44 cm; Depth: 68.3 cm; Net weight: 91 kg; Mounting mode: Rack-mounted; USB compatible: No | Environmental: Ambient air temperature for operation: 0…40 °C; Relative humidity: 0…95 % non-condensing; Operating altitude: 0...6600 ft; Storage Relative Humidity: 0…95 % non-condensing; Storage altitude: 0.0000000000…15240.0000000000 m | Product datasheet: Specifications: 25 Feb 2025 1; Excluding VAT, FCA Jabal Ali & are subject to change – check with your local distributor; Disclaimer: This documentation is not intended as a substitute for and is not to be used for determining suitability or reliability of these products for specific user applications | Packing Units: Unit Type of Package: 1 PCE; Number of Units in Package 1: 1; Package 1 Height: 33.5 cm; Package 1 Width: 78 cm; Package 1 Length: 58 cm; Package 1 Weight: 101.5 kg | Contractual warranty: Warranty: 2 years","SRTG192XLBP4","Schneider","2.00","2878.00"
"AP9640-NETWORK CARD FOR UPS BACKING","Lead time: Usually in Stock Range of Product: Network Management Cards (compatible with Galaxy VM, Galaxy VX, Symmetra PX, Easy UPS 3M Advanced, Easy UPS 3-Phase Modular, Galaxy PX, Smart-UPS series, Back-UPS SX3, Refurbished Smart-UPS) Component Type: Device monitoring and management Provided Equipment: Micro-USB cable, Installation manual Input Phases: 1/3-phase Standards: EN 55024, EN 61000 series, FCC Class A, etc. Physical: Net weight 0.08 kg; Dimensions: 12.1 cm (W) x 3.8 cm (H) x 11.4 cm (D) Environmental: Operating Temperature -5…45 °C; Relative Humidity 0–95%; Operating Altitude up to 10,000 ft Communications: 10/100/1000BASE-T; Supports HTTPS, SSH, FTP, HTTP, SNMP, DHCP, BOOTP, TCP/IP; Authentication via RADIUS, LDAP Packing: 1 PCE; Package Dimensions: 5.1 cm (H) x 15.9 cm (W) x 23.5 cm (L); Weight 0.34 kg","AP9640","Schneider","1.00","697.12"
"APC Smart-UPS SRT 192V 8 and 10kVA RM Battery Pack","Lead time: Usually in Stock Main: Product or Component Type: Battery; Number of rack unit: 3U; Battery Type: Lead-Acid battery; Provided Equipment: Installation guide, Warranty card, Rack Mounting brackets; Range of Product: Smart-UPS Battery Systems Batteries & Runtime: Battery Slots Empty: 0; Included Battery Modules: 0; Device mounting: Stand alone battery stack; Battery Voltage: +/- 192 V; RBC Quantity: 2; Replacement battery: APCRBC140 action_new_window Physical: Color: Black; Height: 5.12 in (13 cm); Width: 17.01 in (43.2 cm); Depth: 26.88 in (68.27 cm); Net Weight: 200.6 lb (US) (91 kg); Mounting Mode: Rack-mounted Conformance: Standards: OSHPD Environmental: Ambient air temperature for operation: 32…104 °F (0…40 °C); Operating altitude: 0...10000 ft; Relative Humidity: 0…95 % non-condensing; Ambient Air Temperature for Storage: 5…113 °F (-15…45 °C); Storage altitude: 0…50000 ft (0.0000000000…15240.0000000000 m); Storage Relative Humidity: 0…95 % non-condensing Product Data Sheet: Specifications: Feb 26, 2025 1; Disclaimer: This documentation is not intended as a substitute for and is not to be used for determining suitability or reliability of these products for specific user applications Ordering and Shipping Details: GTIN: 731304292753 Packing Units: Unit Type of Package: 1 PCE; Number of Units in Package 1: 1; Package 1 Height: 16.54 in (42 cm); Package 1 Width: 23.62 in (60 cm); Package 1 Length: 39.37 in (100 cm); Package 1 Weight: 232.6 lb (US) (105.5 kg)","SRT192RMBP2","Schneider","1.00","2825.00"
"APC Smart-UPS RT 19"" Rail Kit for UPS 5/6/8/10/15/20kVA","Lead time: Usually in Stock Main: Product or component type: Rail; Provided equipment: Installation guide, Mounting hardware, Rack mounting brackets, Screws; Range of product: Smart-UPS Accessories Physical: Height: 4.45 cm; Width: 7.35 cm; Depth: 46.8 cm; Net weight: 3.1 kg; Mounting mode: Rack-mounted Packing Units: Unit Type of Package: 1 PCE; Number of Units in Package: 1; Package 1 Height: 9.1 cm; Package 1 Width: 42.5 cm; Package 1 Length: 9.1 cm; Package 1 Weight: 3.4 kg Contractual warranty: Warranty: 2 years repair or replace","SRTGRK1","Schneider","1.00","458.56"
